id,name,gender,date_of_birth,country,team
5861,Clément Lenglet,male,1995-06-17T00:00:00+00:00,FR,FC Barcelona
131,Jorge Andújar Moreno,male,1987-04-26T00:00:00+00:00,ES,Levante UD
24144,Jorge Carrillo Balea,male,2002-01-07T00:00:00+00:00,ES,RC Celta
689,José Ángel Valdés Díaz,male,1989-09-05T00:00:00+00:00,ES,CA Osasuna
24053,Cristhian Mosquera,male,2004-06-27T00:00:00+00:00,ES,Valencia CF
7427,Cristian Rivero,male,1998-03-21T00:00:00+00:00,ES,AD Alcorcón
20,Cristian Tello,male,1991-08-11T00:00:00+00:00,ES,Real Betis
1626,Cristiano Piccini,male,1992-09-26T00:00:00+00:00,IT,
12621,Cristo Romero,male,2000-04-30T00:00:00+00:00,ES,Real Sociedad
11942,Cesar Moreno,male,2001-04-23T00:00:00+00:00,ES,
24258,César Tárrega,male,2002-02-26T00:00:00+00:00,ES,Valencia CF
26563,Damián Rodríguez,male,2003-03-17T00:00:00+00:00,ES,RC Celta
940,Damián Suárez,male,1988-04-27T00:00:00+00:00,UY,Getafe CF
4,Daniel Alves da Silva,male,1983-05-06T00:00:00+00:00,BR,FC Barcelona
1297,Dani Ceballos,male,1996-08-07T00:00:00+00:00,ES,Real Madrid
163,Daniel García Carrillo,male,1990-05-24T00:00:00+00:00,ES,Athletic Club
12107,Daniel Gómez Alcón,male,1998-07-30T00:00:00+00:00,ES,Levante UD
5978,Daniel Raba Antolín,male,1995-10-29T00:00:00+00:00,ES,Granada CF
6090,Daniel José Rodríguez Vázquez,male,1988-06-06T00:00:00+00:00,ES,RCD Mallorca
8225,Daniel Vivian,male,1999-07-05T00:00:00+00:00,ES,Athletic Club
58,Daniel Carvajal,male,1992-01-11T00:00:00+00:00,ES,Real Madrid
12716,Daniel Cárdenas,male,1997-03-28T00:00:00+00:00,ES,Levante UD
715,Daniel Parejo,male,1989-04-16T00:00:00+00:00,ES,Villarreal CF
7595,Daniel Rebollo,male,1999-12-10T00:00:00+00:00,ES,Real Betis
14644,Daniel Villahermosa,male,2001-01-02T00:00:00+00:00,ES,RCD Espanyol de Barcelona
1849,Daniel Wass,male,1989-05-31T00:00:00+00:00,DK,Atlético de Madrid
3110,Darko Brasanac,male,1992-02-12T00:00:00+00:00,RS,CA Osasuna
1313,Darwin Machís,male,1993-02-07T00:00:00+00:00,VE,Granada CF
15211,Darío Benedetto,male,1990-05-17T00:00:00+00:00,AR,
5772,Darío Poveda,male,1997-03-13T00:00:00+00:00,ES,SD Huesca
8798,Darío Ramos,male,1999-10-19T00:00:00+00:00,ES,CA Osasuna
2350,David Alaba,male,1992-06-24T00:00:00+00:00,AT,Real Madrid
1630,David García,male,1994-02-14T00:00:00+00:00,ES,CA Osasuna
5368,David Gil,male,1994-01-11T00:00:00+00:00,ES,Cádiz CF
619,David López,male,1989-10-09T00:00:00+00:00,ES,RCD Espanyol de Barcelona
2574,David Silva,male,1986-01-08T00:00:00+00:00,ES,Real Sociedad
1669,David Soria,male,1993-04-04T00:00:00+00:00,ES,Getafe CF
550,David Timor,male,1989-10-17T00:00:00+00:00,ES,SD Huesca
135,Denis Cheryshev,male,1990-12-26T00:00:00+00:00,RU,Valencia CF
530,Denis Suárez,male,1994-01-06T00:00:00+00:00,ES,RC Celta
14616,Diego Bri,male,2002-09-12T00:00:00+00:00,ES,Elche CF
12016,Diego Carlos Santos Silva,male,1993-03-15T00:00:00+00:00,BR,
12585,Diego Conde,male,1998-10-28T00:00:00+00:00,ES,Getafe CF
4075,Diego González,male,1995-01-28T00:00:00+00:00,ES,Elche CF
9652,Diego Lainez,male,2000-06-09T00:00:00+00:00,MX,Real Betis
23120,Diego López,male,2002-05-13T00:00:00+00:00,ES,Valencia CF
51,Diego López,male,1981-11-03T00:00:00+00:00,ES,RCD Espanyol de Barcelona
24048,Diego López,male,2001-10-21T00:00:00+00:00,ES,Getafe CF
25315,Diego Piñeiro del Álamo,male,2004-02-13T00:00:00+00:00,ES,Real Madrid
1061,Diego Rico,male,1993-02-23T00:00:00+00:00,ES,Real Sociedad
418,Dimitri Foulquier,male,1993-03-23T00:00:00+00:00,GP,Valencia CF
1683,Djené Dakonam,male,1991-12-31T00:00:00+00:00,TG,Getafe CF
8650,Domingos de Sousa Coutinho Meneses Duarte,male,1995-03-10T00:00:00+00:00,PT,Granada CF
13052,Dominik Greif,male,1997-04-06T00:00:00+00:00,SK,RCD Mallorca
908,Dídac Vilá,male,1989-06-09T00:00:00+00:00,ES,RCD Espanyol de Barcelona
2407,Eden Hazard,male,1991-01-07T00:00:00+00:00,BE,Real Madrid
8867,Éder Gabriel Militão,male,1998-01-18T00:00:00+00:00,BR,Real Madrid
4027,Edgar Badia,male,1992-02-12T00:00:00+00:00,ES,Elche CF
9430,Edgar González,male,1997-04-01T00:00:00+00:00,ES,Real Betis
797,Edgar Méndez,male,1990-01-02T00:00:00+00:00,ES,Deportivo Alavés
12917,Eduardo Camavinga,male,2002-11-10T00:00:00+00:00,FR,Real Madrid
9680,Emerson Aparecido Leite de Souza Junior,male,1999-01-14T00:00:00+00:00,BR,Spurs
6199,Enes Ünal,male,1997-05-10T00:00:00+00:00,TR,Getafe CF
6119,Enis Bardhi,male,1995-07-02T00:00:00+00:00,MK,Levante UD
12407,Enric Franquesa,male,1997-02-26T00:00:00+00:00,ES,Levante UD
1509,Enzo Roco,male,1992-08-16T00:00:00+00:00,CL,Elche CF
4177,Eray Cömert,male,1998-02-04T00:00:00+00:00,CH,Valencia CF
12859,Eric García,male,2001-01-09T00:00:00+00:00,ES,FC Barcelona
6313,Erick Cabaco,male,1995-04-19T00:00:00+00:00,UY,Getafe CF
2881,Erik Lamela,male,1992-03-04T00:00:00+00:00,AR,Sevilla FC
25355,Estanislau Pedrola Fortuny,male,2003-08-24T00:00:00+00:00,ES,FC Barcelona
4303,Esteban Saveljich,male,1991-05-20T00:00:00+00:00,ME,Rayo Vallecano
11014,Etienne Capoue,male,1988-07-11T00:00:00+00:00,FR,Villarreal CF
4626,Ezequiel Ponce,male,1997-03-29T00:00:00+00:00,AR,Elche CF
15156,Facundo Pellistri,male,2001-12-20T00:00:00+00:00,UY,Deportivo Alavés
1943,Rafael Jiménez Jarque,male,1993-08-12T00:00:00+00:00,ES,Cádiz CF
1613,Federico San Emeterio Díaz,male,1997-03-16T00:00:00+00:00,ES,Cádiz CF
6130,Federico Valverde,male,1998-07-22T00:00:00+00:00,UY,Real Madrid
4822,Felipe Augusto de Almeida Monteiro,male,1989-05-16T00:00:00+00:00,BR,Atlético de Madrid
7034,Ferland Mendy,male,1995-06-08T00:00:00+00:00,FR,Real Madrid
2577,Fernando Francisco Reges,male,1987-07-25T00:00:00+00:00,BR,Sevilla FC
5480,Fernando Calero,male,1995-09-14T00:00:00+00:00,ES,RCD Espanyol de Barcelona
12697,Fernando Medrano,male,2000-03-26T00:00:00+00:00,ES,RC Celta
14508,Fernando Niño,male,2000-10-24T00:00:00+00:00,ES,RCD Mallorca
982,Fernando Pacheco,male,1992-05-18T00:00:00+00:00,ES,Deportivo Alavés
9522,Ferran Jutglà,male,1999-02-01T00:00:00+00:00,ES,FC Barcelona
7279,Ferran Torres,male,2000-02-29T00:00:00+00:00,ES,FC Barcelona
25294,Ferrán Quetglás,male,2005-06-06T00:00:00+00:00,ES,RCD Mallorca
947,Fidel Chaves de la Torre,male,1989-10-27T00:00:00+00:00,ES,Elche CF
14671,Filip Jörgensen,male,2002-04-16T00:00:00+00:00,DK,Villarreal CF
9709,Florentino Ibrain Morris Luís,male,1999-08-19T00:00:00+00:00,PT,Getafe CF
1484,Florian Lejeune,male,1991-05-20T00:00:00+00:00,FR,Deportivo Alavés
1703,Florin Andone,male,1993-04-11T00:00:00+00:00,RO,Cádiz CF
4624,Francisco Beltrán,male,1999-02-03T00:00:00+00:00,ES,RC Celta
14942,Francisco Delgado,male,2001-07-11T00:00:00+00:00,ES,Real Betis
9529,Francisco José García Torres,male,1999-08-14T00:00:00+00:00,ES,Rayo Vallecano
1974,Francisco Mérida Pérez,male,1990-03-04T00:00:00+00:00,ES,RCD Espanyol de Barcelona
2421,Francis Coquelin,male,1991-05-13T00:00:00+00:00,FR,Villarreal CF
4795,Franco Cervi,male,1994-05-26T00:00:00+00:00,AR,RC Celta
8546,Franco Russo,male,1994-10-25T00:00:00+00:00,AR,RCD Mallorca
5629,Frenkie de Jong,male,1997-05-12T00:00:00+00:00,NL,FC Barcelona
81,Gabriel Armando de Abreu,male,1990-11-26T00:00:00+00:00,BR,Valencia CF
14919,Gabriel Veiga,male,2002-05-27T00:00:00+00:00,ES,RC Celta
15591,Gaizka Ayesa,male,2001-04-02T00:00:00+00:00,ES,R. Sociedad B
6322,Gaizka Campos,male,1997-05-16T00:00:00+00:00,ES,RC Celta
62,Gareth Bale,male,1989-07-16T00:00:00+00:00,GB-WLS,Real Madrid
25550,Gastón Álvarez,male,2000-03-24T00:00:00+00:00,UY,Getafe CF
21674,Pablo Martín Páez,male,2004-08-05T00:00:00+00:00,ES,FC Barcelona
1080,Geoffrey Kondogbia,male,1993-02-15T00:00:00+00:00,CF,Atlético de Madrid
1473,Gerard Gumbau,male,1994-12-18T00:00:00+00:00,ES,Elche CF
192,Gerard Moreno,male,1992-04-07T00:00:00+00:00,ES,Villarreal CF
5,Gerard Piqué,male,1987-02-02T00:00:00+00:00,ES,FC Barcelona
1902,Germán Pezzella,male,1991-06-27T00:00:00+00:00,AR,Real Betis
1957,Germán Sánchez,male,1986-12-12T00:00:00+00:00,ES,Granada CF
14411,Germán Valera,male,2002-03-16T00:00:00+00:00,ES,Real Sociedad
1514,Gerónimo Rulli,male,1992-05-20T00:00:00+00:00,AR,Villarreal CF
26573,Giorgi Gagua,male,2001-10-10T00:00:00+00:00,GE,Deportivo Alavés
14628,Giorgi Kochorashvili,male,1999-06-29T00:00:00+00:00,GE,Levante UD
15006,Giorgi Mamardashvili,male,2000-09-29T00:00:00+00:00,GE,Valencia CF
6371,Giovani Lo Celso,male,1996-04-09T00:00:00+00:00,AR,
25561,Giovanni González,male,1994-09-20T00:00:00+00:00,UY,RCD Mallorca
22856,Giuliano Simeone,male,2002-12-18T00:00:00+00:00,AR,Atlético de Madrid
1893,Gonzalo Escalante,male,1993-03-27T00:00:00+00:00,AR,Deportivo Alavés
6201,Gonzalo Melero,male,1994-01-02T00:00:00+00:00,ES,Levante UD
9585,Gonzalo Montiel,male,1997-01-01T00:00:00+00:00,AR,Sevilla FC
7142,Gonzalo Verdú,male,1988-10-21T00:00:00+00:00,ES,Elche CF
7608,Gonzalo Villar,male,1998-03-23T00:00:00+00:00,ES,Getafe CF
2663,Gonçalo Manuel Ganchinho Guedes,male,1996-11-29T00:00:00+00:00,PT,Valencia CF
18851,Gregorio Gracia Sánchez,male,2002-05-15T00:00:00+00:00,ES,RCD Espanyol de Barcelona
2270,Guido Carrillo,male,1991-05-25T00:00:00+00:00,AR,Elche CF
14494,Guido Rodríguez,male,1994-04-12T00:00:00+00:00,AR,Real Betis
9526,Guillem Jaime,male,1999-01-06T00:00:00+00:00,ES,FC Barcelona
17132,Helibelton Palacios Zapata,male,1993-06-11T00:00:00+00:00,CO,Elche CF
2446,Hernâni Jorge Santos Fortes,male,1991-08-20T00:00:00+00:00,PT,UD Las Palmas
7122,Hugo Duro,male,1999-11-10T00:00:00+00:00,ES,Valencia CF
23268,Hugo Gonzalez,male,2003-02-07T00:00:00+00:00,ES,Valencia CF
9363,Hugo Guillamón,male,2000-01-31T00:00:00+00:00,ES,Valencia CF
586,Hugo Mallo,male,1991-06-22T00:00:00+00:00,ES,RC Celta
19086,Hugo Sotelo,male,2003-12-19T00:00:00+00:00,ES,RC Celta
24190,Hugo Álvarez,male,2003-07-02T00:00:00+00:00,ES,RC Celta
2419,Héctor Bellerín,male,1995-03-19T00:00:00+00:00,ES,Real Betis
3689,Héctor Herrera,male,1990-04-19T00:00:00+00:00,MX,Atlético de Madrid
1766,Hélder Wander Sousa de Azevedo e Costa,male,1994-01-12T00:00:00+00:00,AO,Valencia CF
1479,Iago Aspas,male,1987-08-01T00:00:00+00:00,ES,RC Celta
25194,Ibrahima Vaniel Cámara Silva,male,2003-01-18T00:00:00+00:00,ES,Atlético de Madrid
8727,Iddrisu Baba,male,1996-01-22T00:00:00+00:00,GH,RCD Mallorca
1865,Ignasi Miquel,male,1992-09-28T00:00:00+00:00,ES,SD Huesca
4468,Igor Zubeldia,male,1997-03-30T00:00:00+00:00,ES,Real Sociedad
25407,Iker Benito,male,2002-08-10T00:00:00+00:00,ES,CA Osasuna
407,Iker Muniain,male,1992-12-19T00:00:00+00:00,ES,Athletic Club
15816,Iker Recio,male,2001-06-17T00:00:00+00:00,ES,Rayo Vallecano
18844,Iker Álvarez de Eulate Molne,male,2001-07-25T00:00:00+00:00,AD,Villarreal CF
14930,Moriba Kourouma Kourouma,male,2003-01-19T00:00:00+00:00,GN,Valencia CF
24274,Ilias Akhomach,male,2004-04-16T00:00:00+00:00,ES,FC Barcelona
66,Francisco Román Alarcón Suárez,male,1992-04-21T00:00:00+00:00,ES,Real Madrid
7276,Isaac Palazón,male,1994-12-27T00:00:00+00:00,ES,Rayo Vallecano
13532,Ismael Ruiz,male,2001-02-14T00:00:00+00:00,ES,Granada CF
137,Ivan Rakitic,male,1988-03-10T00:00:00+00:00,HR,Sevilla FC
3118,Ivan Saponjic,male,1997-08-02T00:00:00+00:00,RS,
14848,Ivo Grbic,male,1996-01-18T00:00:00+00:00,HR,LOSC
4562,Iván Alejo,male,1995-02-10T00:00:00+00:00,ES,Cádiz CF
23691,Iván Arboleda,male,1996-04-21T00:00:00+00:00,CO,
12624,Iván Balliu,male,1992-01-01T00:00:00+00:00,AL,Rayo Vallecano
23055,Iván Chapela,male,1999-05-21T00:00:00+00:00,ES,Cádiz CF
15073,Iván Marcone,male,1990-06-03T00:00:00+00:00,AR,Elche CF
9655,Iván Martín,male,1999-02-14T00:00:00+00:00,ES,Girona FC
15893,Iván Romero,male,2001-04-10T00:00:00+00:00,ES,Sevilla FC
25353,Iván Sanz,male,2003-01-08T00:00:00+00:00,ES,Deportivo Alavés
1917,Isaac Carcelén,male,1993-04-23T00:00:00+00:00,ES,Cádiz CF
9409,Ignacio Peña Sotorres,male,1999-03-02T00:00:00+00:00,ES,FC Barcelona
1702,Iñaki Williams,male,1994-06-15T00:00:00+00:00,ES,Athletic Club
402,Iñigo Pérez,male,1988-01-18T00:00:00+00:00,ES,CA Osasuna
819,Iñigo Ruiz de Galarreta,male,1993-08-06T00:00:00+00:00,ES,RCD Mallorca
1441,Jaime Mata,male,1988-10-24T00:00:00+00:00,ES,Getafe CF
17745,Jakub Jankto,male,1996-01-19T00:00:00+00:00,CZ,Getafe CF
1470,Jan Oblak,male,1993-01-07T00:00:00+00:00,SI,Atlético de Madrid
14735,Alejandro Orellana Gómez,male,2000-08-07T00:00:00+00:00,ES,FC Barcelona
1093,David Remeseiro Salgueiro,male,1994-07-06T00:00:00+00:00,ES,Deportivo Alavés
3235,Jasper Cillessen,male,1989-04-22T00:00:00+00:00,NL,Valencia CF
82,Jaume Costa,male,1988-03-18T00:00:00+00:00,ES,RCD Mallorca
1121,Jaume Doménech,male,1990-11-05T00:00:00+00:00,ES,Valencia CF
9650,Jaume Grau,male,1997-05-05T00:00:00+00:00,ES,Real Zaragoza
8228,Javier Díaz,male,1997-05-15T00:00:00+00:00,ES,Sevilla FC
3956,Javier Galán Gil,male,1994-11-19T00:00:00+00:00,ES,RC Celta
24282,Javier Llabrés Expósito,male,2002-09-11T00:00:00+00:00,ES,RCD Mallorca
8728,Javier Martínez,male,1999-12-22T00:00:00+00:00,ES,CA Osasuna
14526,Javier Castro,male,2000-09-13T00:00:00+00:00,ES,RC Celta
23124,Javier Guerra,male,2003-05-13T00:00:00+00:00,ES,Valencia CF
12650,Javier López,male,2002-03-25T00:00:00+00:00,ES,Deportivo Alavés
3959,Javier Ontiveros,male,1997-09-09T00:00:00+00:00,ES,CF Fuenlabrada
2599,Javier Pastore,male,1989-06-26T00:00:00+00:00,AR,Elche CF
8600,Javier Puado,male,1998-05-25T00:00:00+00:00,ES,RCD Espanyol de Barcelona
22854,Javier Serrano Martínez,male,2003-01-16T00:00:00+00:00,ES,Atlético de Madrid
414,Jeison Murillo,male,1992-05-27T00:00:00+00:00,CO,RC Celta
5169,Jens Jønsson,male,1993-01-10T00:00:00+00:00,DK,Cádiz CF
14864,Jeremías Ledesma,male,1993-02-13T00:00:00+00:00,AR,Cádiz CF
25852,Jesus Lopez,male,2002-08-01T00:00:00+00:00,ES,Elche CF
13804,Jesús Areso,male,1999-07-02T00:00:00+00:00,ES,CA Osasuna
2396,Jesús Corona,male,1993-01-06T00:00:00+00:00,MX,Sevilla FC
2581,Jesús Navas,male,1985-11-21T00:00:00+00:00,ES,Sevilla FC
23368,Jesús Owono,male,2001-03-01T00:00:00+00:00,GQ,Deportivo Alavés
25853,Jesús Santiago,male,2004-05-25T00:00:00+00:00,ES,
1585,Jesús Vallejo,male,1997-01-05T00:00:00+00:00,ES,Real Madrid
16228,Jesús Vázquez,male,2003-01-02T00:00:00+00:00,ES,Valencia CF
15102,Joan García,male,2001-05-04T00:00:00+00:00,ES,RCD Espanyol de Barcelona
1605,Joan Jordán,male,1994-07-06T00:00:00+00:00,ES,Sevilla FC
25442,Joan Rojas,male,2000-01-14T00:00:00+00:00,ES,Atlético de Madrid
3957,Joan Sastre,male,1997-04-30T00:00:00+00:00,ES,
2076,Joaquín Sánchez Rodríguez,male,1981-07-21T00:00:00+00:00,ES,Real Betis
7191,Joel Robles,male,1990-06-17T00:00:00+00:00,ES,Real Betis
14915,Jofre Carreras,male,2001-06-17T00:00:00+00:00,ES,RCD Espanyol de Barcelona
659,Johan Mojica,male,1992-08-21T00:00:00+00:00,CO,Elche CF
16407,John Chetauya Nwankwo Donald,male,2000-09-25T00:00:00+00:00,ES,Elche CF
1850,John Guidetti,male,1992-04-15T00:00:00+00:00,SE,Deportivo Alavés
15872,John Patrick,male,2003-09-24T00:00:00+00:00,IE,Getafe CF
1728,Jokin Ezkieta,male,1996-08-17T00:00:00+00:00,ES,Athletic Club
